# https://explorer.zel.cash/ and whois results
# Zel
IP Address|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Payment Address|Publice Key
135.181.114.220:16197||||||||
135.181.114.222||||||||
135.181.114.43||||||||
135.181.115.241||||||||
135.181.117.225||||||||
135.181.118.113||||||||
135.181.118.95||||||||
135.181.129.228|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|t1LHbeuvRGUXoSU11gUUPi6bCJU3zQRnaEc|0412497d28fc5468ac7ffc7fb47e11c37debe0abaa00bfa84322fc41188229d3e61659d6fc6f0ac402932eb9f0028ec1b9f93c578469f2bfd2f79561e88dbb2ea7
135.181.131.12||||||||
135.181.131.12:16137||||||||
135.181.131.12:16147||||||||
135.181.131.12:16157||||||||
135.181.131.12:16167||||||||
135.181.131.12:16177||||||||
135.181.131.22||||||||
135.181.131.22:16137||||||||
135.181.131.22:16147||||||||
135.181.131.22:16157||||||||
135.181.131.22:16167||||||||
135.181.131.22:16177||||||||
135.181.131.22:16187||||||||
135.181.131.22:16197||||||||
135.181.131.23||||||||
135.181.131.23:16137||||||||
135.181.131.23:16147||||||||
135.181.131.23:16157||||||||
135.181.131.23:16167||||||||
135.181.131.23:16177||||||||
135.181.131.23:16187||||||||
135.181.131.23:16197||||||||
135.181.133.90||||||||
135.181.134.110||||||||
135.181.134.71||||||||
135.181.134.8||||||||
135.181.138.116||||||||
135.181.138.251|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|t1ZBoJyF8B45K8d43NBKJ1mtMT14NMucjkF|044dcf4ec22e245aebadee1258e8a76aada44cef66a50e2874b6783ce66fbcac5be943ccefcc978dc78e45440257d467f634211179a505bb48b4705111931d88e1
135.181.141.22||||||||
135.181.141.22:16137||||||||
135.181.141.22:16147||||||||
135.181.141.22:16157||||||||
135.181.141.22:16167||||||||
135.181.141.22:16177||||||||
135.181.141.22:16187||||||||
135.181.141.22:16197||||||||
135.181.142.186||||||||
135.181.143.121||||||||
135.181.144.32||||||||
135.181.146.35||||||||
135.181.146.78||||||||
135.181.147.210||||||||
135.181.149.66||||||||
135.181.150.101||||||||
135.181.150.93||||||||
135.181.151.110||||||||
135.181.153.89||||||||
135.181.154.191||||||||
135.181.154.245||||||||
135.181.154.55||||||||
135.181.155.151||||||||
135.181.156.145||||||||
135.181.156.79||||||||
135.181.157.202||||||||
135.181.157.48|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|t1cHAYvWAZ3GpjyoYojFYK9VAgqw7nTDrJ2|04d88cd86c6a854bd7f4e697f88e0fc41ec5b73a7aa4749ce1b2204095f54862e909cc30afeba0ed28ada6dc895d2120a3bfded54a718818df1c2594a56cc68ded
135.181.16.126||||||||
135.181.16.83||||||||
135.181.16.83:16137||||||||
135.181.16.83:16147|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|t1M9YLuaTQBprEF9xDFzJVrPVYmYnbku7qC|04ba966d887c18f1686e94be971d0e0b47fbd3f9a4d69d424d6864cf6268eb258691350a0eb3962ab1bc5f41af8f304eb2d81f1433a8722c3ecb574e0a2116c90f
135.181.16.83:16157|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|t1M9YLuaTQBprEF9xDFzJVrPVYmYnbku7qC|04ba966d887c18f1686e94be971d0e0b47fbd3f9a4d69d424d6864cf6268eb258691350a0eb3962ab1bc5f41af8f304eb2d81f1433a8722c3ecb574e0a2116c90f
135.181.16.83:16167||||||||
135.181.16.83:16177||||||||
135.181.16.83:16187||||||||
135.181.16.83:16197||||||||
135.181.165.99||||||||
135.181.176.107||||||||
135.181.176.220||||||||
135.181.177.7|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|t1eKnA4oLPvVHqCiZomQaLpW1SwdfAWbMXe|044f66ce8a5198e261232dd4df903a23a700edf16eb4f7e25906e0f1ef70f7160de095cc6b88bd2b98c1962cd423b3d54329e6a94a5e2bdcb8c7ca3334a9a1832a
135.181.18.123|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|t1MRwyCE4dRyoru725ou4GQnNbwJhPndJeX|04ddff13193b02d8a021c154748b6790d126ef0eb68aa9146418571ea11d6613dd97f1ab8c9e711ad35520714e17597fb985e6d4bd52149a7cd32ed99cdd732655
135.181.18.228||||||||
135.181.180.115:16137||||||||
135.181.180.115:16147||||||||
135.181.180.115:16157||||||||
135.181.180.218||||||||
135.181.180.219||||||||
135.181.180.252||||||||
135.181.180.28||||||||
135.181.19.106||||||||
135.181.19.52||||||||
135.181.193.87||||||||
135.181.195.254||||||||
135.181.2.10||||||||
135.181.2.10:16137||||||||
135.181.2.10:16147||||||||
135.181.2.10:16157||||||||
135.181.2.10:16167||||||||
135.181.2.10:16177||||||||
135.181.2.10:16187||||||||
135.181.2.10:16197||||||||
135.181.2.49||||||||
135.181.2.49:16137||||||||
135.181.2.49:16147||||||||
135.181.2.49:16157||||||||
135.181.2.49:16167||||||||
135.181.2.49:16177||||||||
135.181.2.49:16187||||||||
135.181.2.49:16197||||||||
135.181.2.6||||||||
135.181.2.6:16137||||||||
135.181.2.6:16147||||||||
135.181.2.6:16157||||||||
135.181.2.6:16167||||||||
135.181.2.6:16177||||||||
135.181.20.225||||||||
135.181.201.202||||||||
135.181.201.223||||||||
135.181.201.63||||||||
135.181.207.186||||||||
135.181.208.26||||||||
135.181.208.27||||||||
135.181.208.28||||||||
135.181.208.29||||||||
